File_ID,SEO_Title,Alt_Text,Meta_Description,Keywords,Category,Catagory_Sub,Type,Resolution
20260215_000001,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"A plated chicken dinner with a glossy sauce, mashed potatoes, sautéed vegetables, and a sprig of rosemary, accompanied by a glass of red wine in a cozy dining setting — 2K royalty-free food & beverage stock footage","A plated chicken dinner with a glossy sauce, mashed potatoes, sautéed vegetables, and a sprig of rosemary, accompanied by a glass of red wine in a cozy dining setting. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","plated chicken dinner, glossy sauce, mashed potatoes, sautéed vegetables, rosemary, glass of red wine, cozy dining setting, dining scene, gourmet meal, fine dining, restaurant style, dinner ambiance, home dining, food photography, evening meal, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000002,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"A plated chicken dish topped with glossy sauce and herbs, accompanied by mashed potatoes and vegetables in a fine-dining setting — 2K royalty-free food & beverage stock footage","A plated chicken dish topped with glossy sauce and herbs, accompanied by mashed potatoes and vegetables in a fine-dining setting. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","plated chicken, glossy sauce, herbs, mashed potatoes, vegetables, fine dining, gourmet, elegant plating, high-end cuisine, restaurant dish, food presentation, chef-crafted, dinner plate, luxurious meal, contemporary cuisine, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000003,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Succulent roasted chicken with glossy gravy, creamy mashed potatoes, and tender green beans — 2K royalty-free food & beverage stock footage","Succulent roasted chicken with glossy gravy, creamy mashed potatoes, and tender green beans. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, chicken, gravy, glossy gravy, mashed potatoes, creamy mashed potatoes, green beans, beans, dinner, comfort food, home cooking, poultry, holiday meal, plated dish, restaurant quality, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000004,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,A succulent glazed roast chicken served over creamy mashed potatoes with steamed green beans and fresh herbs — 2K royalty-free food & beverage stock footage,"A succulent glazed roast chicken served over creamy mashed potatoes with steamed green beans and fresh herbs. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, glazed chicken, succulent chicken, mashed potatoes, creamy mashed potatoes, green beans, steamed green beans, fresh herbs, plated meal, comfort food, home cooking, dinner, food photography, close-up, restaurant quality, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000005,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken with creamy mashed potatoes and crisp green beans, finished with a glossy herb-infused sauce — 2K royalty-free food & beverage stock footage","Juicy roasted chicken with creamy mashed potatoes and crisp green beans, finished with a glossy herb-infused sauce. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","juicy roasted chicken, roasted chicken, creamy mashed potatoes, mashed potatoes, crisp green beans, green beans, herb-infused sauce, glossy sauce, chicken dinner, comfort food, home cooking, weeknight dinner, plated meal, food video, stock footage, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000006,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken with a rich glaze on a bed of creamy mashed potatoes, accented by rosemary and green beans — 2K royalty-free food & beverage stock footage","Juicy roasted chicken with a rich glaze on a bed of creamy mashed potatoes, accented by rosemary and green beans. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken, glazed chicken, mashed potatoes, creamy mashed potatoes, rosemary, green beans, side dish, comfort food, dinner, poultry, kitchen, home cooking, crispy skin, savory, restaurant quality, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000007,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Juicy chicken breast smothered in a glossy sauce atop creamy mashed potatoes with colorful vegetables on the side, garnished with rosemary and a glass of red wine in the background — 2K royalty-free food & beverage stock footage","Juicy chicken breast smothered in a glossy sauce atop creamy mashed potatoes with colorful vegetables on the side, garnished with rosemary and a glass of red wine in the background. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","stock footage, video, film, royalty-free, montage, b-roll, aerial, time-lapse, 4k, hd, cinematic, background, nature, cityscape, slow motion, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000008,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"A perfectly roasted chicken leg with a savory glaze, accompanied by mashed potatoes and colorful vegetables, garnished with a sprig of rosemary on an elegant plate — 2K royalty-free food & beverage stock footage","A perfectly roasted chicken leg with a savory glaze, accompanied by mashed potatoes and colorful vegetables, garnished with a sprig of rosemary on an elegant plate. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","roasted chicken leg, chicken leg, roasted chicken, savory glaze, mashed potatoes, colorful vegetables, vegetables, rosemary, garnish, elegant plate, plated dish, gourmet meal, dinner, home cooking, food photography, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000009,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"A plated chicken dinner with glazed chicken breast, rich brown sauce, creamy mashed potatoes, and steamed vegetables in a fine-dining setting — 2K royalty-free food & beverage stock footage","A plated chicken dinner with glazed chicken breast, rich brown sauce, creamy mashed potatoes, and steamed vegetables in a fine-dining setting. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","plated chicken dinner, glazed chicken breast, brown sauce, creamy mashed potatoes, steamed vegetables, fine-dining, gourmet meal, restaurant dinner, upscale dining, plated meal, culinary presentation, chef-prepared, elegant dining, luxury restaurant, dinner service, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
20260215_000010,Chicken Dinner — 2K Royalty-Free Food & Beverage Stock Video,"Juicy roasted chicken in a glossy glaze, with creamy mashed potatoes and crisp green beans, garnished with rosemary — 2K royalty-free food & beverage stock footage","Juicy roasted chicken in a glossy glaze, with creamy mashed potatoes and crisp green beans, garnished with rosemary. 2K Royalty-free Food & Beverage stock footage — pay once, use forever, instant download from Stockflow.media.","juicy roasted chicken, glossy glaze, creamy mashed potatoes, crisp green beans, rosemary garnish, plated dinner, home cooking, comfort food, dinner plate, restaurant style, food photography, poultry dish, side dishes, rustic meal, savory, Chicken Dinner, Food Menu, Food & Beverage, 2K footage, royalty-free stock footage, royalty-free, stock, square",Food & Beverage,Food Menu,video,2160x2160
